TRACT,WARD
902,3
901,3
1001,3
1100,3
801,3
1002,3
1200,3
1301,3
1302,3
600,3
701,3
502,3
702,3
802,3
400,3
501,3
1401,4
1500,4
1600,4
1803,4
10300,4
1402,4
1804,4
2001,4
2600,4
2502,4
2501,4
2002,4
2400,4
2201,4
2101,4
2301,4
2202,4
2102,4
9507,4
9505,4
1902,4
1702,4
1901,4
300,2
201,2
202,2
100,2
6202,2
5800,2
5600,2
4100,2
4202,2
4201,2
5301,2
5201,2
5001,2
4901,2
4801,2
4802,2
4902,2
5002,2
10100,2
10700,2
5500,2
10800,2
2701,1
2801,1
2900,1
3200,1
3100,1
3400,1
2702,1
3900,1
4001,1
4002,1
4300,1
4400,1
3500,1
3600,1
3700,1
3800,1
3000,1
2802,1
10200,6
11000,6
6400,6
10500,6
6500,6
5900,6
4702,6
4701,6
10600,6
8410,6
8402,6
8001,6
8002,6
6700,6
6900,6
6802,6
7100,6
8302,6
8301,6
8100,6
8200,6
6600,6
7000,6
9508,5
9501,5
2302,5
3301,5
3302,5
4600,5
8701,5
8702,5
8803,5
8802,5
8804,5
9102,5
9203,5
9201,5
9509,5
9504,5
9503,5
9301,5
9302,5
9400,5
11100,5
8903,5
8904,5
9000,5
9204,5
7301,8
10900,8
9807,8
9810,8
9811,8
9802,8
9700,8
9801,8
9803,8
9804,8
7304,8
10400,8
7409,8
7403,8
7408,8
7502,8
7404,8
7605,8
7601,8
7200,8
7504,8
7503,8
7401,8
7407,8
7406,8
7901,7
6801,7
6804,7
7903,7
7709,7
7604,7
7603,7
9902,7
7707,7
9905,7
9903,7
7808,7
7807,7
7809,7
7806,7
9601,7
9602,7
9604,7
7804,7
7803,7
9904,7
9906,7
9907,7
9603,7
7703,7
7708,7
9901,7
